genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
METAMDBG-MetaBinnerRefined-group-group_240416.152_sub	2492	2276	114	class	0.85	0.78	0.15	0.03	0.06	0.63	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.153_sub	2437	2194	55	genus	0.6	0.54	0.21	0.41	1.21	0.64	0.35	True
METAMDBG-MetaBinnerRefined-group-group_240416.154	1961	1835	11	family	0.74	0.69	0.09	0.12	0.27	0.71	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.158	3235	3018	144	family	0.78	0.72	0.07	0.43	1.26	0.64	0.47	True
METAMDBG-MetaBinnerRefined-group-group_240416.162_sub	2664	2360	69	phylum	0.83	0.74	0.59	0.15	0.36	0.64	0.47	False
METAMDBG-MetaBinnerRefined-group-group_240416.164_sub	1600	1345	48	order	0.6	0.5	0.14	0.47	2.24	0.56	0.28	True
METAMDBG-MetaBinnerRefined-group-group_240416.167	3326	2864	110	order	0.47	0.4	0.08	0.69	4.04	0.51	0.2	True
METAMDBG-MetaBinnerRefined-group-group_240416.168_sub	1539	1350	39	order	0.55	0.48	0.44	0.82	7.73	0.59	0.28	True
METAMDBG-MetaBinnerRefined-group-group_240416.169_sub	1940	1716	62	family	0.46	0.41	0.84	0.75	4.42	0.66	0.27	False
METAMDBG-MetaBinnerRefined-group-group_240416.16_sub	3526	3298	77	phylum	0.91	0.86	0.37	0.05	0.11	0.63	0.54	True
METAMDBG-MetaBinnerRefined-group-group_240416.17	3354	3102	26	class	0.94	0.87	0.03	0.11	0.26	0.64	0.55	True
METAMDBG-MetaBinnerRefined-group-group_240416.170	3702	3328	342	phylum	0.97	0.87	0.21	0.03	0.06	0.73	0.64	True
METAMDBG-MetaBinnerRefined-group-group_240416.171	1835	1715	31	class	0.96	0.9	0.35	0.05	0.11	0.72	0.65	True
METAMDBG-MetaBinnerRefined-group-group_240416.172	2033	1924	20	phylum	0.99	0.94	0.32	0.07	0.14	0.71	0.66	True
METAMDBG-MetaBinnerRefined-group-group_240416.174_sub	1616	1520	124	class	0.94	0.89	0.1	0.06	0.12	0.68	0.61	True
METAMDBG-MetaBinnerRefined-group-group_240416.175	2874	2663	107	phylum	0.94	0.87	0.26	0.05	0.1	0.59	0.51	True
METAMDBG-MetaBinnerRefined-group-group_240416.176_sub	6063	5157	382	family	0.52	0.44	0.3	0.34	1.05	0.58	0.25	True
METAMDBG-MetaBinnerRefined-group-group_240416.177	6076	4943	519	class	0.65	0.53	0.34	0.65	4.64	0.53	0.28	True
METAMDBG-MetaBinnerRefined-group-group_240416.180_sub	1393	1154	112	phylum	0.74	0.61	0.24	0.55	2.67	0.52	0.32	True
METAMDBG-MetaBinnerRefined-group-group_240416.186_sub	1582	1457	56	genus	0.65	0.6	0.2	0.43	1.66	0.68	0.41	True
METAMDBG-MetaBinnerRefined-group-group_240416.190	2665	2232	186	order	0.5	0.42	0.18	0.32	1.09	0.48	0.2	True
METAMDBG-MetaBinnerRefined-group-group_240416.191_sub	2284	1991	137	order	0.58	0.51	0.19	0.7	5.41	0.53	0.27	True
METAMDBG-MetaBinnerRefined-group-group_240416.193_sub	453	436	10	genus	0.96	0.92	0.08	0.32	0.78	0.78	0.72	True
METAMDBG-MetaBinnerRefined-group-group_240416.197	3179	2964	68	genus	0.59	0.55	0.21	0.07	0.14	0.65	0.36	True
METAMDBG-MetaBinnerRefined-group-group_240416.2	3704	3521	13	class	0.92	0.87	0.08	0.18	0.47	0.62	0.54	True
METAMDBG-MetaBinnerRefined-group-group_240416.200	2377	2222	109	phylum	0.88	0.82	0.13	0.04	0.08	0.55	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.203_sub	3698	2743	265	class	0.69	0.51	0.2	0.33	1.16	0.5	0.26	True
METAMDBG-MetaBinnerRefined-group-group_240416.205_sub	4334	3581	435	class	0.67	0.56	0.66	0.72	4.99	0.6	0.33	False
METAMDBG-MetaBinnerRefined-group-group_240416.206_sub	3030	2545	250	phylum	0.85	0.72	0.18	0.69	3.64	0.51	0.36	True
METAMDBG-MetaBinnerRefined-group-group_240416.208_sub	2845	2547	207	family	0.48	0.43	0.24	0.62	3.46	0.62	0.26	True
METAMDBG-MetaBinnerRefined-group-group_240416.21	2684	2294	52	order	0.51	0.44	0.08	0.35	1.29	0.49	0.22	True
METAMDBG-MetaBinnerRefined-group-group_240416.210_sub	3294	2885	102	class	0.79	0.69	0.68	0.57	2.84	0.63	0.44	False
METAMDBG-MetaBinnerRefined-group-group_240416.213	3017	2470	149	phylum	0.87	0.71	0.16	0.34	1.16	0.57	0.4	True
METAMDBG-MetaBinnerRefined-group-group_240416.215	3196	3025	245	genus	0.62	0.58	0.66	0.66	3.53	0.8	0.47	False
METAMDBG-MetaBinnerRefined-group-group_240416.218	1901	1737	139	class	0.84	0.77	0.19	0.12	0.27	0.59	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.219_sub	3127	2621	216	phylum	0.86	0.72	0.6	0.47	2.13	0.59	0.43	False
METAMDBG-MetaBinnerRefined-group-group_240416.220_sub	3190	2591	230	phylum	0.85	0.69	0.52	0.3	0.87	0.67	0.47	False
METAMDBG-MetaBinnerRefined-group-group_240416.229	2346	2198	14	genus	0.61	0.57	0.04	0.69	4.06	0.65	0.37	True
METAMDBG-MetaBinnerRefined-group-group_240416.230	4449	3926	358	order	0.74	0.66	0.37	0.1	0.23	0.65	0.42	True
METAMDBG-MetaBinnerRefined-group-group_240416.231_sub	1531	1371	39	phylum	0.93	0.83	0.7	0.43	1.34	0.65	0.54	False
METAMDBG-MetaBinnerRefined-group-group_240416.233	1524	1382	99	family	0.56	0.51	0.4	0.21	0.57	0.65	0.33	True
METAMDBG-MetaBinnerRefined-group-group_240416.235	5519	4900	428	phylum	0.96	0.85	0.59	0.06	0.12	0.71	0.6	False
METAMDBG-MetaBinnerRefined-group-group_240416.236	3235	2829	193	phylum	0.88	0.77	0.21	0.24	0.65	0.56	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.239_sub	3564	2994	229	class	0.73	0.61	0.7	0.7	4.41	0.62	0.38	False
METAMDBG-MetaBinnerRefined-group-group_240416.24	2175	2028	124	class	0.95	0.88	0.19	0.06	0.13	0.63	0.55	True
METAMDBG-MetaBinnerRefined-group-group_240416.241	3272	2754	248	phylum	0.87	0.74	0.49	0.1	0.22	0.52	0.39	False
METAMDBG-MetaBinnerRefined-group-group_240416.242_sub	4489	4007	334	phylum	0.92	0.82	0.81	0.03	0.05	0.66	0.54	False
METAMDBG-MetaBinnerRefined-group-group_240416.243	4795	3968	329	family	0.55	0.46	0.13	0.66	4.98	0.57	0.26	True
METAMDBG-MetaBinnerRefined-group-group_240416.245	3272	3083	176	family	0.76	0.71	0.26	0.08	0.18	0.72	0.52	True
METAMDBG-MetaBinnerRefined-group-group_240416.247_sub	1928	1700	63	phylum	0.91	0.8	0.77	0.59	2.15	0.64	0.51	False
METAMDBG-MetaBinnerRefined-group-group_240416.248_sub	3425	3141	137	genus	0.67	0.62	0.05	0.75	5.07	0.65	0.4	True
METAMDBG-MetaBinnerRefined-group-group_240416.250_sub	2102	2012	159	family	0.91	0.87	0.95	0.03	0.06	0.73	0.64	False
METAMDBG-MetaBinnerRefined-group-group_240416.253	3661	3339	199	phylum	0.88	0.81	0.19	0.07	0.15	0.56	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.256_sub	3354	2894	381	phylum	0.85	0.73	0.23	0.17	0.43	0.62	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.259	5349	4614	392	phylum	0.89	0.77	0.23	0.26	0.76	0.58	0.44	True
METAMDBG-MetaBinnerRefined-group-group_240416.264	2886	2560	120	class	0.83	0.74	0.13	0.41	1.43	0.55	0.41	True
METAMDBG-MetaBinnerRefined-group-group_240416.271	2321	2011	154	phylum	0.9	0.78	0.22	0.37	1.23	0.55	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.272	1811	1605	71	phylum	0.75	0.67	0.09	0.48	2.2	0.5	0.34	True
METAMDBG-MetaBinnerRefined-group-group_240416.275_sub	3465	2953	157	order	0.5	0.42	0.26	0.24	0.7	0.53	0.23	True
METAMDBG-MetaBinnerRefined-group-group_240416.283	2878	2742	80	genus	0.81	0.77	0.09	0.13	0.31	0.73	0.57	True
METAMDBG-MetaBinnerRefined-group-group_240416.29	3590	3266	25	kingdom	1.0	0.91	0.02	0.03	0.06	0.5	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.290_sub	2766	2365	186	order	0.48	0.41	0.75	0.83	9.2	0.64	0.26	False
METAMDBG-MetaBinnerRefined-group-group_240416.291_sub	4961	4156	285	phylum	0.87	0.73	0.48	0.28	0.87	0.6	0.44	False
METAMDBG-MetaBinnerRefined-group-group_240416.292	3508	3062	197	phylum	0.94	0.82	0.23	0.09	0.2	0.59	0.48	True
METAMDBG-MetaBinnerRefined-group-group_240416.293_sub	2532	2235	120	family	0.52	0.46	0.84	0.76	5.87	0.68	0.31	False
METAMDBG-MetaBinnerRefined-group-group_240416.296	3305	2776	148	phylum	0.83	0.7	0.13	0.72	4.58	0.51	0.35	True
METAMDBG-MetaBinnerRefined-group-group_240416.302_sub	2292	2085	94	class	0.86	0.78	0.09	0.02	0.05	0.63	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.304	3391	3115	324	family	0.78	0.71	0.96	0.14	0.32	0.76	0.54	False
METAMDBG-MetaBinnerRefined-group-group_240416.305_sub	4437	3619	401	class	0.68	0.55	0.68	0.76	5.19	0.59	0.33	False
METAMDBG-MetaBinnerRefined-group-group_240416.306	3460	3047	89	phylum	0.89	0.78	0.1	0.21	0.58	0.55	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.31	3790	3511	158	class	0.97	0.9	0.08	0.06	0.13	0.62	0.56	True
METAMDBG-MetaBinnerRefined-group-group_240416.319	3473	2795	225	class	0.72	0.58	0.63	0.07	0.15	0.63	0.36	False
METAMDBG-MetaBinnerRefined-group-group_240416.32	2830	2547	128	class	0.9	0.81	0.13	0.45	1.65	0.57	0.47	True
METAMDBG-MetaBinnerRefined-group-group_240416.320_sub	3530	3165	233	phylum	0.84	0.75	0.38	0.05	0.11	0.58	0.44	True
METAMDBG-MetaBinnerRefined-group-group_240416.324_sub	2088	1760	171	order	0.52	0.43	0.41	0.42	1.78	0.52	0.23	True
METAMDBG-MetaBinnerRefined-group-group_240416.327_sub	2602	2391	145	order	0.81	0.75	0.36	0.17	0.45	0.72	0.54	True
METAMDBG-MetaBinnerRefined-group-group_240416.334_sub	2563	2116	219	family	0.49	0.4	0.23	0.45	2.01	0.55	0.22	True
METAMDBG-MetaBinnerRefined-group-group_240416.341	2236	2062	79	class	0.9	0.83	0.21	0.07	0.14	0.65	0.54	True
METAMDBG-MetaBinnerRefined-group-group_240416.347	2645	2295	107	class	0.57	0.5	0.09	0.75	5.52	0.49	0.24	True
METAMDBG-MetaBinnerRefined-group-group_240416.353_sub	5264	4383	404	family	0.67	0.55	0.7	0.31	1.06	0.7	0.39	False
METAMDBG-MetaBinnerRefined-group-group_240416.354	2842	2541	135	phylum	0.87	0.78	0.29	0.06	0.13	0.6	0.47	True
METAMDBG-MetaBinnerRefined-group-group_240416.356	1306	1178	86	phylum	0.94	0.85	0.23	0.02	0.05	0.6	0.51	True
METAMDBG-MetaBinnerRefined-group-group_240416.357_sub	4122	3585	340	phylum	0.85	0.74	0.4	0.24	0.69	0.6	0.44	True
METAMDBG-MetaBinnerRefined-group-group_240416.360_sub	3846	3093	231	class	0.67	0.54	0.41	0.64	4.27	0.56	0.3	True
METAMDBG-MetaBinnerRefined-group-group_240416.363_sub	4678	3835	424	class	0.68	0.56	0.66	0.77	5.9	0.59	0.33	False
METAMDBG-MetaBinnerRefined-group-group_240416.364_sub	4613	3871	351	phylum	0.79	0.66	0.17	0.35	1.24	0.53	0.35	True
METAMDBG-MetaBinnerRefined-group-group_240416.365_sub	4963	3986	438	phylum	0.9	0.72	0.71	0.02	0.05	0.66	0.48	False
METAMDBG-MetaBinnerRefined-group-group_240416.368	3400	3149	289	phylum	0.94	0.87	0.18	0.03	0.06	0.57	0.5	True
METAMDBG-MetaBinnerRefined-group-group_240416.369_sub	2997	2454	218	class	0.69	0.56	0.7	0.72	4.71	0.59	0.33	False
METAMDBG-MetaBinnerRefined-group-group_240416.373_sub	4389	3946	365	genus	0.65	0.59	0.26	0.43	1.63	0.74	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.374_sub	2647	2315	222	class	0.81	0.71	0.17	0.36	1.21	0.55	0.39	True
METAMDBG-MetaBinnerRefined-group-group_240416.375	3311	2890	277	phylum	0.89	0.78	0.28	0.13	0.3	0.56	0.44	True
METAMDBG-MetaBinnerRefined-group-group_240416.38	2240	1908	174	kingdom	1.0	0.85	0.15	0.03	0.07	0.48	0.41	True
METAMDBG-MetaBinnerRefined-group-group_240416.381_sub	3179	2777	267	kingdom	1.0	0.87	0.38	0.04	0.08	0.6	0.52	True
METAMDBG-MetaBinnerRefined-group-group_240416.382	1922	1736	113	order	0.87	0.79	0.11	0.54	2.43	0.54	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.384_sub	3243	2861	116	family	0.49	0.44	0.35	0.25	0.7	0.71	0.31	True
METAMDBG-MetaBinnerRefined-group-group_240416.387_sub	3701	3179	290	phylum	0.89	0.76	0.74	0.18	0.43	0.62	0.47	False
METAMDBG-MetaBinnerRefined-group-group_240416.388_sub	2280	1882	114	class	0.63	0.52	0.34	0.74	4.9	0.56	0.29	True
METAMDBG-MetaBinnerRefined-group-group_240416.393_sub	1110	996	21	phylum	0.95	0.85	0.35	0.03	0.07	0.6	0.51	True
METAMDBG-MetaBinnerRefined-group-group_240416.395	5397	5027	125	class	0.84	0.79	0.07	0.07	0.16	0.62	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.403	2409	1962	185	phylum	0.76	0.62	0.1	0.72	6.3	0.49	0.3	True
METAMDBG-MetaBinnerRefined-group-group_240416.41	1794	1689	37	order	0.81	0.76	0.17	0.11	0.24	0.72	0.55	True
METAMDBG-MetaBinnerRefined-group-group_240416.42	3570	3099	237	class	0.61	0.53	0.16	0.69	3.37	0.52	0.27	True
METAMDBG-MetaBinnerRefined-group-group_240416.43_sub	2552	1129	175	kingdom	1.0	0.44	0.77	0.06	0.14	0.52	0.23	False
METAMDBG-MetaBinnerRefined-group-group_240416.44	2455	2193	177	phylum	0.94	0.84	0.17	0.08	0.17	0.58	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.5	4478	4155	52	phylum	0.94	0.87	0.1	0.05	0.1	0.58	0.5	True
METAMDBG-MetaBinnerRefined-group-group_240416.50	1990	1813	59	class	0.91	0.83	0.07	0.29	0.89	0.59	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.52_sub	2635	2267	156	order	0.66	0.57	0.39	0.07	0.16	0.6	0.34	True
METAMDBG-MetaBinnerRefined-group-group_240416.53	2628	2452	136	genus	0.43	0.4	0.25	0.19	0.46	0.64	0.26	True
METAMDBG-MetaBinnerRefined-group-group_240416.55	3517	3217	238	phylum	0.96	0.88	0.14	0.04	0.09	0.69	0.61	True
METAMDBG-MetaBinnerRefined-group-group_240416.59_sub	2323	2152	33	family	0.55	0.51	0.09	0.48	2.05	0.59	0.3	True
METAMDBG-MetaBinnerRefined-group-group_240416.6	3627	3356	62	class	0.88	0.82	0.09	0.23	0.64	0.56	0.46	True
METAMDBG-MetaBinnerRefined-group-group_240416.62	3193	3001	151	phylum	0.98	0.92	0.33	0.02	0.04	0.73	0.67	True
METAMDBG-MetaBinnerRefined-group-group_240416.65	2124	1914	195	phylum	0.96	0.86	0.38	0.04	0.09	0.57	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.69_sub	2015	1915	117	class	0.95	0.9	0.48	0.03	0.06	0.72	0.65	False
METAMDBG-MetaBinnerRefined-group-group_240416.70	6773	5443	353	genus	0.69	0.55	0.25	0.21	0.57	0.61	0.34	True
METAMDBG-MetaBinnerRefined-group-group_240416.72_sub	771	710	12	class	0.89	0.82	0.13	0.11	0.25	0.62	0.51	True
METAMDBG-MetaBinnerRefined-group-group_240416.73	3121	2808	221	class	0.89	0.8	0.16	0.21	0.57	0.57	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.75	4156	3725	283	order	0.82	0.74	0.21	0.39	1.27	0.59	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.77	2171	1635	224	phylum	0.85	0.64	0.19	0.56	2.98	0.5	0.32	True
METAMDBG-MetaBinnerRefined-group-group_240416.78_sub	3369	3078	131	class	0.95	0.87	0.19	0.03	0.07	0.69	0.6	True
METAMDBG-MetaBinnerRefined-group-group_240416.81_sub	3218	2782	246	phylum	0.88	0.76	0.2	0.45	1.87	0.54	0.41	True
METAMDBG-MetaBinnerRefined-group-group_240416.83	1808	1738	16	genus	0.48	0.46	0.13	0.14	0.32	0.64	0.3	True
METAMDBG-MetaBinnerRefined-group-group_240416.85_sub	861	786	22	genus	0.74	0.67	0.23	0.39	1.43	0.78	0.53	True
METAMDBG-MetaBinnerRefined-group-group_240416.88	1465	1361	63	genus	0.63	0.58	0.09	0.59	2.9	0.64	0.37	True
METAMDBG-MetaBinnerRefined-group-group_240416.89	3415	2879	207	family	0.63	0.53	0.18	0.33	1.05	0.63	0.33	True
METAMDBG-MetaBinnerRefined-group-group_240416.90	3198	2902	238	class	0.88	0.8	0.07	0.12	0.28	0.59	0.47	True
METAMDBG-MetaBinnerRefined-group-group_240416.91_sub	2795	2422	132	phylum	0.88	0.76	0.27	0.43	1.65	0.54	0.41	True
METAMDBG-MetaBinnerRefined-group-group_240416.93	1302	1138	77	genus	0.62	0.54	0.51	0.14	0.33	0.56	0.3	False
METAMDBG-MetaBinnerRefined-group-group_240416.98_sub	988	909	25	class	0.91	0.84	0.1	0.13	0.3	0.6	0.5	True
FLYE-CONCOCTRefined-group-group_240416.120_sub	3582	3298	66	family	0.88	0.81	0.76	0.08	0.18	0.88	0.71	False
FLYE-CONCOCTRefined-group-group_240416.126	5125	4103	121	class	0.57	0.46	0.12	0.63	3.04	0.53	0.24	True
FLYE-CONCOCTRefined-group-group_240416.156_sub	7249	6296	246	phylum	0.92	0.8	0.17	0.06	0.12	0.61	0.48	True
FLYE-CONCOCTRefined-group-group_240416.185_sub	8751	7174	297	class	0.89	0.73	0.13	0.32	1.0	0.59	0.43	True
FLYE-CONCOCTRefined-group-group_240416.199	3787	3230	78	class	0.86	0.73	0.17	0.24	0.68	0.59	0.43	True
FLYE-CONCOCTRefined-group-group_240416.203_sub	12070	8620	370	class	0.75	0.54	0.14	0.66	3.6	0.55	0.29	True
FLYE-CONCOCTRefined-group-group_240416.20_sub	5949	4718	194	phylum	0.83	0.66	0.62	0.18	0.45	0.66	0.44	False
FLYE-CONCOCTRefined-group-group_240416.226	3116	2722	21	class	0.75	0.66	0.13	0.67	3.43	0.59	0.39	True
FLYE-CONCOCTRefined-group-group_240416.244_sub	2787	2199	188	phylum	0.91	0.72	0.22	0.05	0.11	0.6	0.43	True
FLYE-CONCOCTRefined-group-group_240416.255_sub	4834	3735	212	order	0.55	0.43	0.23	0.63	3.2	0.59	0.25	True
FLYE-CONCOCTRefined-group-group_240416.272	4748	4195	26	order	0.49	0.43	0.06	0.76	6.78	0.51	0.22	True
FLYE-CONCOCTRefined-group-group_240416.287_sub	1695	1348	24	family	0.68	0.54	0.39	0.27	0.81	0.62	0.33	True
FLYE-CONCOCTRefined-group-group_240416.29	4755	4001	32	class	0.76	0.64	0.04	0.04	0.08	0.57	0.37	True
FLYE-CONCOCTRefined-group-group_240416.290	3620	3299	25	phylum	0.92	0.84	0.1	0.02	0.05	0.56	0.47	True
FLYE-CONCOCTRefined-group-group_240416.40_sub	6877	5324	72	class	0.7	0.54	0.07	0.81	6.55	0.54	0.29	True
FLYE-CONCOCTRefined-group-group_240416.67	7271	6162	150	order	0.77	0.65	0.07	0.55	2.18	0.62	0.41	True
FLYE-CONCOCTRefined-group-group_240416.73	2855	2629	29	phylum	0.95	0.88	0.08	0.04	0.09	0.61	0.53	True
FLYE-CONCOCTRefined-group-group_240416.74	5039	4278	56	phylum	0.91	0.77	0.22	0.1	0.24	0.58	0.45	True
FLYE-CONCOCTRefined-group-group_240416.7_sub	5224	4750	71	class	0.91	0.83	0.11	0.09	0.2	0.67	0.55	True
FLYE-CONCOCTRefined-group-group_240416.89	4933	4381	44	phylum	0.9	0.8	0.11	0.08	0.17	0.6	0.48	True
FLYE-CONCOCTRefined-group-group_240416.96_sub	4632	4224	35	phylum	0.98	0.9	0.1	0.03	0.05	0.65	0.58	True
FLYE-CONCOCTRefined-group-group_240416.9_sub	3405	3031	89	class	0.9	0.81	0.31	0.21	0.54	0.64	0.52	True
FLYE-MaxBin2Refined-group-group_240416.018	3464	3176	27	class	0.91	0.83	0.03	0.3	0.95	0.6	0.5	True
FLYE-MaxBin2Refined-group-group_240416.022_sub	3655	3319	56	class	0.89	0.81	0.05	0.18	0.45	0.59	0.48	True
FLYE-MaxBin2Refined-group-group_240416.026_sub	2414	2118	93	genus	0.6	0.53	0.21	0.22	0.59	0.68	0.36	True
FLYE-MaxBin2Refined-group-group_240416.033_sub	5801	5122	221	genus	0.65	0.58	0.17	0.4	1.47	0.76	0.44	True
FLYE-MaxBin2Refined-group-group_240416.034	4674	4318	27	phylum	0.93	0.86	0.24	0.05	0.11	0.59	0.51	True
FLYE-MaxBin2Refined-group-group_240416.035	5176	4639	113	family	0.81	0.73	0.82	0.06	0.12	0.71	0.52	False
FLYE-MaxBin2Refined-group-group_240416.044_sub	4479	4110	117	phylum	0.98	0.9	0.15	0.03	0.07	0.74	0.67	True
FLYE-MaxBin2Refined-group-group_240416.045_sub	4720	4007	128	order	0.51	0.44	0.76	0.5	1.87	0.69	0.3	False
FLYE-MaxBin2Refined-group-group_240416.051	3767	3456	142	order	0.95	0.87	0.28	0.03	0.05	0.76	0.66	True
FLYE-MaxBin2Refined-group-group_240416.054_sub	6100	4695	156	family	0.56	0.43	1.0	0.04	0.09	0.61	0.26	False
FLYE-MaxBin2Refined-group-group_240416.075_sub	4028	2996	232	order	0.64	0.48	0.32	0.54	2.56	0.62	0.3	True
FLYE-MaxBin2Refined-group-group_240416.087_sub	5979	5086	388	phylum	0.93	0.79	0.77	0.1	0.22	0.6	0.48	False
FLYE-MaxBin2Refined-group-group_240416.091	9339	7294	533	class	0.79	0.61	0.14	0.21	0.58	0.57	0.35	True
FLYE-MaxBin2Refined-group-group_240416.097	1800	1347	136	phylum	0.89	0.67	0.5	0.1	0.24	0.52	0.34	False
FLYE-MaxBin2Refined-group-group_240416.105	4012	3330	204	family	0.67	0.56	0.74	0.3	0.92	0.65	0.36	False
FLYE-MaxBin2Refined-group-group_240416.153_sub	6902	5063	324	class	0.63	0.46	0.19	0.84	9.07	0.49	0.23	True
FLYE-MaxBin2Refined-group-group_240416.175_sub	4700	3594	192	phylum	0.8	0.61	0.16	0.57	3.3	0.54	0.33	True
FLYE-MaxBin2Refined-group-group_240416.191	8196	5667	459	phylum	0.83	0.57	0.15	0.41	1.65	0.53	0.3	True
FLYE-MetaBAT2Refined-group-group_240416.100	3917	3682	9	family	0.62	0.58	0.07	0.17	0.43	0.65	0.38	True
FLYE-MetaBAT2Refined-group-group_240416.110	6735	6189	83	genus	0.72	0.66	0.09	0.26	0.74	0.76	0.5	True
FLYE-MetaBAT2Refined-group-group_240416.112	2652	2193	77	phylum	0.85	0.7	0.14	0.42	1.5	0.57	0.4	True
FLYE-MetaBAT2Refined-group-group_240416.117_sub	8953	7468	223	family	0.52	0.44	0.14	0.5	1.79	0.59	0.26	True
FLYE-MetaBAT2Refined-group-group_240416.118	3902	3483	33	order	0.9	0.81	0.05	0.4	0.99	0.66	0.53	True
FLYE-MetaBAT2Refined-group-group_240416.124	3647	3358	29	phylum	0.9	0.82	0.05	0.06	0.12	0.57	0.47	True
FLYE-MetaBAT2Refined-group-group_240416.127	2045	1767	65	genus	0.47	0.41	0.17	0.34	1.06	0.63	0.26	True
FLYE-MetaBAT2Refined-group-group_240416.143	3908	3550	47	phylum	0.95	0.87	0.3	0.03	0.06	0.61	0.53	True
FLYE-MetaBAT2Refined-group-group_240416.153	3146	2870	31	phylum	0.96	0.87	0.04	0.06	0.13	0.65	0.57	True
FLYE-MetaBAT2Refined-group-group_240416.154_sub	4614	3612	135	phylum	0.91	0.71	0.16	0.11	0.25	0.6	0.42	True
FLYE-MetaBAT2Refined-group-group_240416.183	2138	1864	51	phylum	0.95	0.83	0.14	0.06	0.13	0.67	0.55	True
FLYE-MetaBAT2Refined-group-group_240416.185	7228	6286	174	phylum	0.87	0.76	0.14	0.07	0.16	0.57	0.44	True
FLYE-MetaBAT2Refined-group-group_240416.188_sub	4265	3824	185	order	0.82	0.73	0.28	0.2	0.49	0.62	0.45	True
FLYE-MetaBAT2Refined-group-group_240416.200	5042	4478	93	phylum	0.9	0.8	0.22	0.08	0.17	0.58	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.203	5036	4584	38	family	0.76	0.69	0.05	0.56	3.02	0.63	0.44	True
FLYE-MetaBAT2Refined-group-group_240416.212	3323	2872	117	order	0.64	0.55	0.35	0.19	0.49	0.7	0.38	True
FLYE-MetaBAT2Refined-group-group_240416.215	3108	2842	115	phylum	0.97	0.89	0.35	0.04	0.08	0.71	0.63	True
FLYE-MetaBAT2Refined-group-group_240416.219	5118	4585	133	phylum	0.93	0.83	0.44	0.03	0.05	0.66	0.55	True
FLYE-MetaBAT2Refined-group-group_240416.228_sub	10034	8924	244	class	0.95	0.84	0.14	0.14	0.33	0.69	0.59	True
FLYE-MetaBAT2Refined-group-group_240416.229	3822	3295	22	order	0.73	0.63	0.03	0.71	4.69	0.58	0.36	True
FLYE-MetaBAT2Refined-group-group_240416.23	3225	2573	107	class	0.84	0.67	0.1	0.42	1.56	0.57	0.38	True
FLYE-MetaBAT2Refined-group-group_240416.232	3844	3107	126	phylum	0.88	0.71	0.19	0.43	1.73	0.53	0.38	True
FLYE-MetaBAT2Refined-group-group_240416.237	2863	2501	80	class	0.89	0.78	0.04	0.14	0.34	0.6	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.238	3497	3300	43	phylum	0.98	0.92	0.29	0.04	0.09	0.7	0.65	True
FLYE-MetaBAT2Refined-group-group_240416.239_sub	3811	3513	56	phylum	0.91	0.84	0.09	0.03	0.07	0.64	0.54	True
FLYE-MetaBAT2Refined-group-group_240416.252	3943	3564	113	family	0.92	0.83	0.21	0.02	0.05	0.74	0.61	True
FLYE-MetaBAT2Refined-group-group_240416.260	4809	4103	156	class	0.84	0.72	0.1	0.06	0.14	0.61	0.44	True
FLYE-MetaBAT2Refined-group-group_240416.264	793	617	40	order	0.78	0.6	0.16	0.5	2.12	0.62	0.37	True
FLYE-MetaBAT2Refined-group-group_240416.270	7520	5642	244	class	0.81	0.61	0.14	0.13	0.3	0.55	0.34	True
FLYE-MetaBAT2Refined-group-group_240416.273	4381	3746	155	phylum	0.89	0.76	0.14	0.1	0.22	0.6	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.293	2795	2425	22	phylum	0.88	0.77	0.04	0.14	0.34	0.57	0.44	True
FLYE-MetaBAT2Refined-group-group_240416.303	3266	2966	17	kingdom	1.0	0.91	0.0	0.0	0.0	0.81	0.74	True
FLYE-MetaBAT2Refined-group-group_240416.304	1943	1825	55	class	0.94	0.89	0.21	0.06	0.13	0.71	0.63	True
